                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.52964,                0.66256,                 1.5901,                 1.0808,                0.70311,                 0.8206,                0.90398,                0.83104,                0.70311,                 0.8206,                0.90398,                0.83972,                0.48662,                0.42273,                 1.0798,                 1.1327,              0.0002271,              0.0002271,              0.0002271
                     25,                0.53089,                0.64861,                 1.5221,                  1.106,                0.68074,                0.90013,                0.92013,                 0.8495,                0.68074,                0.90013,                0.92013,                0.87312,                0.47765,                0.42838,                 1.0059,                 1.1206,             0.00021884,             0.00021884,             0.00021884
                     26,                0.48372,                0.59187,                 1.5308,                 1.0538,                0.60446,                0.97697,                0.94521,                0.87604,                0.60446,                0.97697,                0.94521,                0.90528,                0.42987,                0.39856,                0.98513,                 1.0995,             0.00021059,             0.00021059,             0.00021059
                     27,                0.50261,                0.61825,                 1.4044,                 1.0808,                0.68158,                0.90597,                0.94323,                0.85274,                0.68158,                0.90597,                0.94323,                0.89046,                0.45155,                0.37804,                0.91297,                 1.1254,             0.00020233,             0.00020233,             0.00020233
                     28,                 0.4976,                0.56226,                 1.4268,                 1.0653,                0.65323,                0.97776,                0.96891,                0.86705,                0.65323,                0.97776,                0.96891,                0.91003,                0.48112,                0.36757,                0.90753,                 1.1542,             0.00019407,             0.00019407,             0.00019407
                     29,                0.50114,                0.62777,                 1.4289,                 1.0692,                0.82361,                0.79671,                0.94297,                0.82398,                0.82361,                0.79671,                0.94297,                0.89058,                0.55129,                0.36208,                 0.9966,                 1.2188,             0.00018582,             0.00018582,             0.00018582
                     30,                0.44551,                0.53903,                 1.2723,                 1.0317,                0.69087,                0.91266,                0.92045,                0.83506,                0.69087,                0.91266,                0.92045,                0.87528,                0.49369,                0.35854,                0.86501,                 1.1624,             0.00017756,             0.00017756,             0.00017756
                     31,                0.47506,                0.57315,                  1.263,                  1.045,                  0.857,                0.86883,                 0.9465,                0.85747,                  0.857,                0.86883,                 0.9465,                0.89837,                0.47704,                0.35971,                0.86032,                 1.1253,              0.0001693,              0.0001693,              0.0001693
                     32,                0.47078,                0.61249,                 1.2734,                 1.0243,                0.73018,                 0.8981,                0.94108,                0.82449,                0.73018,                 0.8981,                0.94108,                0.89242,                0.54091,                0.36544,                0.87191,                 1.1804,             0.00016105,             0.00016105,             0.00016105
                     33,                0.46632,                0.58595,                 1.1708,                  1.028,                0.76285,                0.92761,                0.93697,                0.82605,                0.76285,                0.92761,                0.93697,                0.89618,                0.50627,                0.34991,                0.97354,                 1.1452,             0.00015279,             0.00015279,             0.00015279
                     34,                0.44887,                0.57842,                 1.1773,                 1.0442,                0.77375,                0.92023,                0.93696,                0.87194,                0.77375,                0.92023,                0.93696,                0.88417,                0.41195,                0.32554,                0.99047,                 1.0531,             0.00014453,             0.00014453,             0.00014453
                     35,                0.47719,                0.63332,                 1.2564,                 1.0715,                0.85898,                0.87439,                 0.9538,                0.90532,                0.85898,                0.87439,                 0.9538,                0.91654,                0.38052,                0.32998,                0.82936,                 1.0207,             0.00013628,             0.00013628,             0.00013628
                     36,                0.41405,                0.56672,                 1.1771,                  1.012,                0.86929,                0.90234,                0.95868,                0.89948,                0.86929,                0.90234,                0.95868,                0.91946,                0.39075,                0.32724,                0.73057,                 1.0291,             0.00012802,             0.00012802,             0.00012802
                     37,                0.41876,                0.52434,                 1.2014,                 1.0206,                0.80557,                0.90833,                0.94588,                0.89499,                0.80557,                0.90833,                0.94588,                0.90494,                0.39282,                0.32521,                0.75107,                 1.0403,             0.00011976,             0.00011976,             0.00011976
                     38,                0.39252,                0.50723,                 1.0677,                0.97824,                0.87345,                0.87386,                0.94883,                0.90628,                0.87345,                0.87386,                0.94883,                0.91086,                0.37923,                 0.3416,                0.78468,                 1.0249,             0.00011151,             0.00011151,             0.00011151
                     39,                0.40248,                0.51568,                 0.9851,                  0.998,                0.89015,                0.92167,                0.97008,                0.92382,                0.89015,                0.92167,                0.97008,                0.93786,                0.32721,                0.32726,                0.62654,                0.98399,             0.00010325,             0.00010325,             0.00010325
                     40,                0.42338,                0.56524,                 1.0749,                 1.0166,                 0.8112,                0.92495,                0.96596,                0.93585,                 0.8112,                0.92495,                0.96596,                0.93713,                0.31653,                0.33282,                0.67979,                0.97259,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                0.31684,                0.38585,                0.64633,                 1.0538,                0.73608,                0.92631,                0.92457,                0.88589,                0.73608,                0.92631,                0.92457,                0.90652,                0.31906,                0.33462,                0.76849,                0.98059,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                0.30388,                0.35228,                0.63616,                 1.0398,                0.85129,                0.89669,                0.92874,                0.88878,                0.85129,                0.89669,                0.92874,                0.91072,                0.32248,                 0.3401,                0.72503,                0.97291,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                0.28562,                0.36688,                0.53178,                 1.0172,                 0.7557,                0.88085,                0.91585,                 0.8578,                 0.7557,                0.88085,                0.91585,                 0.8867,                0.35786,                0.32999,                0.72217,                0.99085,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                0.28569,                0.32869,                0.51323,                0.99675,                0.73008,                 0.9087,                0.93514,                0.88645,                0.73008,                 0.9087,                0.93514,                0.91291,                0.35297,                0.33757,                0.72631,                0.99513,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                0.28793,                0.32391,                0.54746,                 1.0254,                0.82315,                0.88113,                0.93038,                0.88747,                0.82315,                0.88113,                0.93038,                0.90894,                0.35245,                0.33795,                0.70531,                0.99455,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                0.25318,                0.31636,                0.45984,                0.98482,                0.81935,                0.90384,                0.95356,                0.90583,                0.81935,                0.90384,                0.95356,                0.92816,                0.33677,                0.33789,                0.69831,                0.97384,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                0.27062,                0.30296,                 0.4976,                 1.0345,                0.89556,                0.89226,                0.95778,                 0.9115,                0.89556,                0.89226,                0.95778,                0.93214,                0.33262,                0.33937,                0.66699,                0.96378,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                0.25914,                0.30304,                0.45601,                0.99378,                0.90092,                 0.9112,                0.96198,                0.93482,                0.90092,                 0.9112,                0.96198,                0.94515,                0.30079,                0.34035,                0.59965,                0.93185,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                0.25385,                0.31332,                0.42721,                0.99912,                0.82866,                0.93333,                0.95373,                0.93162,                0.82866,                0.93333,                0.95373,                0.93225,                0.29216,                0.33622,                0.57334,                0.92864,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     50,                0.24417,                0.30391,                0.42058,                0.96736,                0.84436,                0.93838,                0.96475,                0.95353,                0.84436,                0.93838,                0.96475,                0.94537,                0.28581,                0.33076,                0.53971,                0.92048,             1.2427e-05,             1.2427e-05,             1.2427e-05
